website,type,2nd type,3rd type
http://carolineglick.com/,bias,,
https://ilovemyfreedom.org,bias,clickbait,
http://www.intrepidreport.com/,bias,,
http://www.investmentwatchblog.com,bias,fake,
http://www.jamesrgrangerjr.com/,bias,,
https://journal-neo.org,bias,,
http://www.katehon.com,bias,,
https://www.lewrockwell.com,bias,unreliable,political
https://libertyunyielding.com,bias,,
http://www.lifenews.com,bias,clickbait,
https://www.liveaction.org/news/,bias,,
http://meanlefthook.com/,bias,clickbait,
http://www.moonofalabama.org,bias,,
https://www.oathkeepers.org,bias,,
http://occupyliberals.com,bias,clickbait,
https://off-guardian.org,bias,conspiracy,
http://openmindmagazine.com,bias,conspiracy,
https://orientalreview.org,bias,conspiracy,
http://www.palmerreport.com/,bias,,
http://patriotnewsdaily.com,bias,clickbait,
http://patriotpost.us,bias, ,
http://patriotrising.com,bias,conspiracy,
http://patriotupdate.com/homepage/patriot-update-daily-pm/,bias,conspiracy,
https://www.paulcraigroberts.org,bias,conspiracy,
https://platosguns.com,bias,conspiracy,bias
http://english.pravda.ru,bias,rumor,conspiracy
http://www.pravdareport.com,bias,rumor,conspiracy
http://www.presstv.com,bias,unreliable,
http://www.presstv.ir,bias,unreliable,
http://www.progressivestoday.com,bias,,
https://www.projectveritas.com,bias,unreliable,political
http://www.qpolitical.com,bias,clickbait,junksci
https://reagancoalition.com/,bias,fake,clickbait
http://realtimepolitics.com,bias,unreliable,
http://www.redflagnews.com,bias,conspiracy,unreliable
http://rightalert.com/,bias,unreliable,
http://rightwingnews.com,bias,unreliable,
http://russia-insider.com/en,bias,clickbait,
http://sputniknews.com,bias,state,fake
http://thefederalistpapers.org,bias,conspiracy, 
http://thegatewaypundit.com,bias,conspiracy,unreliable
http://www.thenewamerican.com,bias,,
http://thenewsdoctors.com,bias,,
https://thewatchtowers.org,bias,conspiracy,clickbait
https://truepundit.com,bias,clickbait,
http://www.truthandaction.org,bias,conspiracy,clickbait
https://truthkings.com,bias,conspiracy,junksci
https://www.truthrevolt.org/,bias,hate,
https://news.unclesamsmisguidedchildren.com,bias,,
http://www.unz.com,bias,,
http://www.usapoliticstoday.com,bias,unreliable,
https://usawatchdog.com,bias,,
http://uschronicle.com,bias,conspiracy,hate
https://usherald.com,bias,conspiracy,fake
https://www.vdare.com,bias,hate,
https://www.veteranstoday.com,bias,unreliable,
http://www.washingtonsblog.com,bias,conspiracy,satire
https://wearechange.org,bias,conspiracy,
https://www.westernjournal.com,bias,clickbait,
http://www.wnd.com,bias,clickbait,unreliable
http://addictinginfo.com,clickbait,unreliable,
http://bipartisanreport.com,clickbait,bias,
https://www.blacklistednews.com,clickbait,unreliable,
https://bluenationreview.com,clickbait,unreliable,
https://breaking911.com,clickbait,unreliable,
https://www.chicksonright.com/,clickbait,bias,
http://educateinspirechange.org,clickbait,junksci,
https://www.elitereaders.com,clickbait,,
https://heatst.com,clickbait,bias,
http://www.liberalamerica.org,clickbait,bias,
https://libertywritersnews.com,clickbait,bias,unreliable
https://www.lifesitenews.com,clickbait,bias,
https://www.lifezette.com,clickbait,,
http://lovethispic.com,clickbait,junksci,
https://notallowedto.com,clickbait,fake,
http://occupydemocrats.com,clickbait,bias,unreliable
https://other98.com/,clickbait,bias,unreliable
http://www.politicususa.com,clickbait,unreliable,
http://remedydaily.com,clickbait, ,
http://www.topinfopost.com/,clickbait,unreliable,conspiracy
http://www.trueactivist.com,clickbait,unreliable,
https://twitchy.com,clickbait,rumor,
http://yournationnews.com/,clickbait,,
https://yournewswire.com,clickbait,junksci,
http://21stcenturywire.com,conspiracy,,
http://www.abovetopsecret.com,conspiracy,rumor,
https://www.activistpost.com,conspiracy,,
http://www.alt-market.com,conspiracy,bias, 
http://americanfreepress.net,conspiracy,bias,
http://awarenessact.com,conspiracy,junksci,
http://www.awdnews.com,conspiracy,,
https://bb4sp.com,conspiracy,bias,fake
http://BullionBullsCanada.com,conspiracy,,
https://canadafreepress.com,conspiracy,bias, 
https://concisepolitics.com,conspiracy,hate,
http://conservativerefocus.com/blogs/index.php,conspiracy,,
http://therundownlive.com,conspiracy,,
https://www.corbettreport.com,conspiracy,bias,
http://countdowntozerotime.com,conspiracy, ,
https://counterpsyops.com/,conspiracy,,
http://www.cryptogon.com/,conspiracy,unreliable,
https://dailyoccupation.com,conspiracy,bias,
https://www.davidwolfe.com,conspiracy,,
http://www.dcclothesline.com,conspiracy,junksci,
https://www.dutchsinse.com,conspiracy,,
http://endoftheamericandream.com,Conspiracy,Fake,Political
http://www.eyeopening.info,conspiracy,junksci,
https://www.familysecuritymatters.org,conspiracy,bias,
http://fellowshipoftheminds.com,conspiracy,junksci,
http://fprnradio.com,conspiracy,fake,
https://freedomoutpost.com,conspiracy,bias, 
http://fromthetrenchesworldreport.com,conspiracy,junksci,bias
http://gaia.com,conspiracy,junksci,
http://gangstergovernment.com,conspiracy,bias,
https://www.globalresearch.ca/,conspiracy,,
http://www.godlikeproductions.com,conspiracy,,
http://www.govtslaves.info,conspiracy,,
https://www.greanvillepost.com,conspiracy,,
http://www.hangthebankers.com,conspiracy, ,
https://www.henrymakow.com,conspiracy, ,
http://humansarefree.com,conspiracy,,
http://www.infiniteunknown.net,conspiracy,,
http://www.informationclearinghouse.info/,conspiracy,unreliable,
https://www.infowars.com/,conspiracy,,
https://www.intellihub.com,conspiracy,unreliable,
http://investmentresearchdynamics.com,conspiracy,,
http://itccs.org,conspiracy,,
https://www.jihadwatch.org,conspiracy,hate,
http://jonesreport.com/,conspiracy,,
https://libertytalk.fm,conspiracy,,
http://nationalufocenter.com,conspiracy,,
http://neonnettle.com,conspiracy,fake,bias
http://newstarget.com,conspiracy,,
https://nodisinfo.com,conspiracy,unreliable,
http://www.nowtheendbegins.com,conspiracy,,
https://offgridsurvival.com,conspiracy,bias,
https://pamelageller.com,conspiracy,fake,bias
http://politicalblindspot.com,conspiracy,junksci,
https://www.prepperwebsite.com,conspiracy,fake,
http://prisonplanet.com,conspiracy,,
http://www.rense.com,conspiracy,junksci,
http://secretsofthefed.com,conspiracy,junksci,
http://shoebat.com,conspiracy,bias,
https://www.silverdoctors.com,conspiracy,bias,
http://skeptiko.com,conspiracy,junksci,
http://www.sonsoflibertyradio.com,conspiracy,bias, unreliable
http://www.thedailysheeple.com,conspiracy,bias,
theeconomiccollapseblog.com,conspiracy,bias,
http://www.theeventchronicle.com,conspiracy,junksci,clickbait
http://www.thelibertybeacon.com,conspiracy,junksci,bias
http://themindunleashed.com,conspiracy,junksci,clickbait
https://themindunleashed.com/,conspiracy,junksci,clickbait
http://thephaser.com,conspiracy,,
https://thepoliticalinsider.com,conspiracy,bias,unreliable
http://weshapelife.org,conspiracy,junksci,
http://whatreallyhappened.com/,conspiracy,rumor,
https://whowhatwhy.org,conspiracy,,
https://worldtruth.tv,conspiracy,junksci,
http://x22report.com,conspiracy,,
http://www.zerohedge.com,conspiracy,,
http://americannews.com,fake,,
http://americanoverlook.com,fake,,
http://www.anonjekloy.tk,fake,,
http://beforeitsnews.com,fake,conspiracy,rumor
http://www.bighairynews.com,fake,conspiracy,
https://cannasos.com/news,fake,unreliable,
http://cap-news.com/,fake, ,
http://cityworldnews.com/,fake,,
http://civictribune.com/,fake,,
https://clashdaily.com,fake,conspiracy,bias
https://coed.com,fake,unreliable,
http://conservativebyte.com/homepage/conservative-byte-best-of-week-am/,fake,bias,
https://conservativedailypost.com,fake,unreliable,
http://conservativefighters.com,fake,,
http://dailybuzzlive.com,fake,,
http://dailyheadlines.com/,fake, ,
http://dailyheadlines.net,fake, ,
http://dailynewsposts.info,fake,,
https://dailysurge.com,fake,,
https://dcgazette.com,fake,,
http://donaldtrumpnews.co,fake,,
https://downtrend.com,fake,satire,
https://empireherald.com,fake,satire,
http://empirenews.net,fake,,
http://enduringvision.com/,fake,,
http://www.enhlive.com,fake,,
http://my.fakingnews.com,fake,,
http://www.fakingnews.com,fake,satire,
http://flashnewscorner.com,fake,,
https://freedomdaily.com,fake,,
http://globalpoliticsnow.com,fake,,
https://gopthedailydose.com,fake,conspiracy,bias
http://gummypost.com,fake,,
http://healthycareandbeauty.com,fake,unreliable,
https://immediatesafety.org,fake,,
https://infostormer.com,fake,hate,conspiracy
http://intrendtoday.com/,fake,clickbait,
http://itaglive.com,fake,,
http://www.updatar24.com,fake,,
http://itmakessenseblog.com,fake,,
http://liberalplug.com/,fake,,
https://libertyblitzkrieg.com,fake,,
http://madworldnews.com,fake,,
http://www.majorthoughts.com,fake,,
https://en.mediamass.net,fake,,
http://www.mentor2day.com,fake,,
https://www.metropolitanworlds.com,fake,,
https://nationonenews.com,fake,conspiracy,
http://www.nephef.com,fake,,
http://news4ktla.com/,fake,satire,
https://newsbreakshere.com,fake,,
http://newsexaminer.net,fake,satire, 
http://newsfrompolitics.com,fake,,
http://politicot.com,fake,,
http://www.popnewsmagazine.com,fake,,
https://newswithviews.com,fake,conspiracy,
http://now8news.com/,fake,,
http://onlineconservativepress.com,fake,conspiracy,bias
http://www.pakalertpress.com/,fake,,
http://politicalo.com,fake, ,
https://politicalsitenews.com,fake,,
http://politicono.com,fake,,
http://prntly.com,fake,,
http://www.proudcons.com,fake,bias,
http://realnewsrightnow.com,fake,satire,
http://redcountry.us,fake,,
http://www.religionmind.com,fake,,
http://rickwells.us,fake,,
https://rickwells.us,fake,conspiracy,
http://smag31.com,fake,unreliable,
http://stormcloudsgathering.com,fake,,
https://subjectpolitics.com,fake,bias,
http://success-street.com,fake,clickbait,
https://www.tdtalliance.com,fake,,
https://www.teaparty.org,fake,unreliable,
http://www.thebigriddle.com,fake,,
http://www.thecommonsenseshow,fake,conspiracy,
http://thefreepatriot.org,fake,bias,clickbait
https://theinternetpost.net,fake,,
http://report.thenet24h.com,fake,,
http://theracketreport.com/,fake,satire,
https://www.huzlers.com,fake,,
http://therightscoop.com,fake,clickbait,
http://thetruthdivision.com,fake,bias,
http://thetruthseeker.co.uk/,fake,conspiracy,junksci
http://threepercenternation.com,fake,conspiracy,bias
http://viralactions.com,fake,,
http://undergroundworldnews.com/,fake,conspiracy,bias
http://usadosenews.com,fake,,
http://www.usafirstinformation.com,fake,,
http://www.usanewspolitics.com,fake,,
http://usaphase.com,fake,bias,
https://www.usasupreme.com,fake, ,
http://www.usatwentyfour.com/,fake,,
http://uspoliticslive.com/,fake,bias,conspiracy
https://vigilantcitizen.com,fake,conspiracy,
http://viralactions.com,fake,,
http://viralliberty.com,fake,bias,clickbait
http://weeklyworldnews.com,fake,rumor,clickbait
http://wtoe5news.com,fake,satire,
https://yesimright.com,fake,bias,
http://www.actforamerica.org/news,hate,,
http://adflegal.org/media,hate,,
http://www.americanborderpatrol.com,hate,,
https://www.amren.com,hate,conspiracy,
http://barenakedislam.com,hate,,
https://barnesreview.org,hate,,
https://www.centerforsecuritypolicy.org,hate,,
https://www.darkmoon.me,hate,bias,
https://davidduke.com,hate,,
http://drrichswier.com,hate,bias,
http://www.eutimes.net,hate,conspiracy,
https://gatesofvienna.net,hate,conspiracy,
http://www.ihr.org,hate,,
https://nationalvanguard.org,hate,,
http://www.returnofkings.com,hate,,
https://therightstuff.biz,hate,,
http://truthfeednews.com,hate,bias,conspiracy
https://ancient-code.com,junksci,unreliable,
http://www.checkoutthehealthyworld.com,junksci,clickbait,
http://www.collective-evolution.com,junksci,,
http://collectivelyconscious.net,junksci,conspiracy,
https://consciouslifenews.com,junksci, ,
http://dineal.com,junksci,,
http://ewao.com,junksci,,
https://foodbabe.com,junksci,,
https://galacticconnection.com,junksci,,
http://www.geoengineeringwatch.org,junksci,conspiracy,
http://GreenMedInfo.com,junksci,,
https://www.healthnutnews.com,junksci,,
http://www.healthy-holistic-living.com,junksci,clickbait,
https://www.icr.org,junksci,,
http://in5d.com,junksci,,
https://www.naturalblaze.com,junksci,conspiracy,
https://www.naturalnews.com,junksci,conspiracy,
https://www.naturalnewsblogs.com,junksci,,
https://realfarmacy.com,junksci,conspiracy,
https://realfarmacy.com,junksci,,
http://www.revolutions2040.com,junksci,clickbait,
https://thetruthaboutcancer.com,junksci,,
http://thetruthwins.com,junksci,conspiracy,clickbait
http://www.wakingtimes.com,junksci,,
http://www.whydontyoutrythis.com,junksci,rumor,
http://americannewsx.com,political,bias,satire
https://www.americanprogress.org,political,reliable,
https://baptistnews.com/,political,,
http://www.breitbart.com,political,unreliable,bias
https://www.cato.org,political,reliable,
https://www.chroniclesmagazine.org,political,,
https://www.city-journal.org,political,,
https://www.commentarymagazine.com,political,,
https://www.commondreams.org,political,clickbait,
https://www.conservativereview.com,political,,
http://www.countercurrents.org,political,unreliable,
https://www.counterpunch.org,political,,
http://dailycaller.com,political,clickbait,bias
https://tomwoods.com,political,,
https://www.dailykos.com,political,clickbait, 
http://davidstockmanscontracorner.com,political,,
https://www.dissentmagazine.org,political,,
http://www.economicnoise.com,political,unreliable,
https://www.ecowatch.com,political,,
https://www.emptywheel.net,political,,
https://www.filmsforaction.org,political,,
http://www.foreignpolicy.com,political,,
http://www.freedomworks.org,political,,
http://fusion.net/story,political,reliable,
http://www.geopolmonitor.com,political,,
http://guardianlv.com,political,,
http://www.heritage.org,political,,
http://ijr.com,political,bias,unreliable
https://jackpineradicals.com,political,,
http://jacobinmag.com,political,,
https://www.judicialwatch.org,political,,
https://www.mintpressnews.com,political,,
https://www.mrc.org,political,bias,
https://www.nakedcapitalism.com,political,,
https://www.nationalreview.com,political,,
https://www.newcoldwar.org,political,,
http://www.oann.com,political,reliable,
http://observer.com,political,,
http://www.occupy.com,political,,
https://pjmedia.com,political,bias,
http://proudemocrat.com,political,,
https://www.rawstory.com,political,clickbait,
https://www.redstate.com,political,clickbait,
http://resistancereport.com/,political,unreliable,
http://rinf.com,political,,
http://ronpaulinstitute.org,political,,
http://truthbroadcastnetwork.com,political,,
https://www.theblaze.com/,political,clickbait,
https://www.thedailybeast.com,political,,
https://thefifthcolumnnews.com,political,,
https://theintercept.com,political,,
https://thinkprogress.org,political,,
https://www.washingtonexaminer.com,political,unreliable, 
https://www.weeklystandard.com,political,bias,
http://yellowhammernews.com,political,,
https://www.christianpost.com,reliable,political,
https://consortiumnews.com,reliable,,
https://nutritionfacts.org,reliable,,
http://americantoday.news,rumor,bias,
http://www.amtvmedia.com,rumor,unreliable,
https://www.express.co.uk,rumor,,
http://loanpride.com,rumor,clickbait,
https://newswire-24.com,rumor,unreliable,
http://www.pollhype.com/,rumor ,clickbait,bias
http://abriluno.com,satire,fake,
http://www.actualidadpanamericana.com,satire,,
https://adobochronicles.com,satire,,
http://associatedmediacoverage.com,satire,,
https://awazetribune.com,satire,,
http://beehivebugle.com,satire,,
http://www.betootaadvocate.com,satire,,
http://bigamericannews.com,satire,fake,
http://www.burrardstreetjournal.com,satire,,
http://www.callthecops.net,satire,,
http://www.celebtricity.com,satire,,
http://chaser.com.au,satire,,
http://christwire.org,satire,,
http://chronicle.su,satire, ,
https://www.clickhole.com,satire,,
http://creambmp.com,satire,fake,
http://dailycurrant.com,satire,,
http://dailysnark.com,satire,,
https://www.dailysquib.co.uk/,satire,,
http://dandygoat.com,satire,,
https://www.der-postillon.com,satire,,
http://www.derfmagazine.com,satire,,
https://www.disclose.tv,satire,conspiracy,
http://www.duhprogressive.com,satire,,
http://www.elkoshary.com,satire,,
http://www.empiresports.co,satire,,
http://fmobserver.com,satire,,
http://thefreepatriot.org,satire,,
http://www.freewoodpost.com,satire,,
http://glossynews.com,satire,,
http://gomerblog.com,satire,,
http://www.holyobserver.com,satire,,
https://www.humortimes.com,satire,,
https://www.huzlers.com,satire,,
http://ironictimes.com/,satire,,
http://islamicanews.com,satire,,
www.johnnyrobish.com,satire,,
http://www.landoverbaptist.org,satire,,
http://liberalbias.com,satire,,
http://liberaldarkness.com,satire,fake,
http://www.lushforlife.com,satire,,
http://nationalreport.net,satire,fake,
https://www.ncscooper.com/,satire,,
http://www.newsbiscuit.com,satire,,
http://newsbreakers.blogspot.be,satire,,
http://newsthump.com,satire,,
https://newstoad.net,satire,,
https://www.newyorker.com/humor,satire,,
http://patriotnewsdaily.com,satire,,
http://politicops.com,satire,fake,
http://politicot.com,satire,fake,
http://reductress.com,satire,,
http://religionlo.com,satire,,
http://www.rockcitytimes.com,satire,,
http://scrappleface.com,satire,,
http://www.sensationalisttimes.com,satire,,
http://sportspickle.com,satire,,
http://stneotscitizen.com,satire,,
http://stuppid.com,satire,,
http://www.thedailymash.co.uk,satire,,
http://what.thedailywtf.com,satire,,
https://thehardtimes.net,satire,,
http://theineptowl.com,satire,,
https://www.themideastbeast.com,satire,,
http://www.theonion.com,satire,,
https://www.thepoke.co.uk,satire,,
http://therightists.com,satire, ,
http://theseattletribune.com,satire,,
http://www.theshovel.com.au,satire,,
https://theskunk.org,satire,,
http://thespoof.com,satire,,
http://www.thestatelyharold.com,satire,,
http://www.theunrealtimes.com,satire,,
https://thevalleyreport.com,satire,,
http://unconfirmedsources.com,satire,,
http://waterfordwhispersnews.com,satire,,
http://www.wonkie.com,satire,,
http://worldnewsdailyreport.com,satire,,
https://wundergroundmusic.com,satire,,
http://ahtribune.com,unreliable,bias,
http://anonhq.com,unreliable,,
https://www.asia-pacificresearch.com,unreliable,satire,
http://awm.com,unreliable,bias,clickbait
https://www.blackagendareport.com,unreliable,,
http://www.boilingfrogspost.com,unreliable,,
http://www.breakpoint.org,unreliable,,
http://www.cnnnext.com,unreliable,,
http://CNSNews.com,unreliable,bias,
https://www.coasttocoastam.com,unreliable,,
http://www.ifyouonlynews.com,unreliable,satire,
https://www.jewsnews.co.il,unreliable,bias,fake
http://madpatriots.com,unreliable,clickbait,
https://madworldnews.com,unreliable,hate,
http://madworldnews.com,unreliable,clickbait,
https://morningledger.tumblr.com,unreliable,,
https://www.morningledger.com,unreliable,conspiracy,
https://www.morningnewsusa.com,unreliable,,
https://www.newsmax.com,unreliable,bias,
http://www.northcrane.com,unreliable,,
http://www.nutritionalanarchy.com,unreliable,,
https://shareblue.com,unreliable,political,bias
https://www.sovereignman.com,unreliable,,
http://theantimedia.org,unreliable,bias,conspiracy
http://theduran.com,unreliable,,
https://thefreethoughtproject.com,unreliable,conspiracy,clickbait
http://theinformedamerican.net,unreliable,,
http://usdefensewatch.com,unreliable,,
http://www.veteransnewsnow.com,unreliable,,
https://www.veteransnewsnow.com,unreliable,political,
http://wallstreetonparade.com,unreliable,,
https://www.weaselzippers.us,unreliable,bias,
http://whowhatwhy.com,unreliable,,
https://wolfstreet.com,unreliable,,
http://www.dailymail.co.uk/,unreliable,,
http://waterfordwhispersnews.com,satire,satire,
https://theintercept.com,political,,
http://smokeroom.com,unreliable,,
https://what.thedailywtf.com,unreliable,,
https://resistancehole.clickhole.com,fake,,
http://usconservativetoday.com,fake,,
https://www.advocate.com,political,,
http://www.counterpunch.org,political,,
https://alternet.org,political,credible,
http://ew.com,fake,,
http://bizstandardnews.com,fake,,
https://70news.wordpress.com/,fake,,
http://politics.theonion.com,fake,,
http://johngaltfla.com,fake,,
https://news.unclesamsmisguidedchildren.com,,,
